stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
1280,1280,Jules Ferry,Rennes,48.12141907,-1.67087311,,,0
1281,1281,Volney,Rennes,48.12528439,-1.66636805,,,0
1282,1282,Gros Chêne,Rennes,48.12661538,-1.66533269,,,0
1283,1283,Rochester,Rennes,48.12879195,-1.663837,,,0
1284,1284,Houx Cité U.,Rennes,48.13105022,-1.66440004,,,0
1285,1285,Morbihan,Rennes,48.13277864,-1.66759846,,,0
1286,1286,Bellangerais,Rennes,48.13270956,-1.67234326,,,0
1287,1287,Condate,Rennes,48.13491655,-1.67283484,,,0
1288,1288,Neruda,Rennes,48.13668515,-1.67074244,,,0
1289,1289,Monts d'Arrée,Rennes,48.13658555,-1.66756896,,,0
1290,1290,Clos Courtel,Rennes,48.12688601,-1.62954442,,,0
1291,1291,IUT,Rennes,48.12475494,-1.63388413,,,0
1292,1292,Beaulieu Restau. U.,Rennes,48.12145018,-1.63814809,,,0
1293,1293,Guilloux,Rennes,48.10992139,-1.69863394,,,0
1294,1294,Marbeuf,Rennes,48.11140799,-1.70136408,,,0
1295,1295,Berger,Rennes,48.11673996,-1.70463882,,,0
1296,1296,Université,Rennes,48.11928534,-1.70455594,,,0
1297,1297,Villejean-Université,Rennes,48.12180414,-1.70378405,,,0
1298,1298,IRTS,Rennes,48.12559159,-1.70307124,,,0
1299,1299,Olympe de Gouges,Rennes,48.12785166,-1.70290899,,,0
1300,1300,Cucillé,Rennes,48.12858619,-1.69873296,,,0
1301,1301,Préfecture,Rennes,48.12819455,-1.69396394,,,0
1302,1302,Léonard,Rennes,48.13149428,-1.69172852,,,0
1303,1303,Préfecture,Rennes,48.12832572,-1.69414225,,,0
1304,1304,Cucillé,Rennes,48.12850845,-1.69887415,,,0
1305,1305,Olympe de Gouges,Rennes,48.12765808,-1.70324184,,,0
1306,1306,IRTS,Rennes,48.12533687,-1.70312933,,,0
1307,1307,Villejean-Université,Rennes,48.12192614,-1.70388916,,,0
1308,1308,Université,Rennes,48.11892068,-1.70465808,,,0
1309,1309,Berger,Rennes,48.11673461,-1.70477296,,,0
1310,1310,Marbeuf,Rennes,48.11122281,-1.70080917,,,0
1311,1311,Guilloux,Rennes,48.10966101,-1.69838195,,,0
1312,1312,Beaulieu Chimie,Rennes,48.1166495,-1.63393042,,,0
1313,1313,Beaulieu Restau. U.,Rennes,48.12187502,-1.63834696,,,0
1314,1314,IUT,Rennes,48.1250923,-1.63309609,,,0
1315,1315,République,Rennes,48.10969693,-1.67808112,,,0
1316,1316,Raison,Rennes,48.10120612,-1.65296379,,,0
1317,1317,Villebois-Mareuil,Rennes,48.10013961,-1.64938444,,,0
1318,1318,Landry,Rennes,48.09914749,-1.64597327,,,0
1319,1319,Domaine,Rennes,48.09705567,-1.64164476,,,0
1320,1320,CARSAT,Rennes,48.09498429,-1.63725113,,,0
